,Name,Total Value,Return
74,LRA; E=1.00e+08; K=6.00e+01,"$100,000.00",+0.000%
75,NN; E=1.00e+08; K=6.00e+01,"$100,000.00",+0.000%
76,LRA; E=1.00e+08; K=6.00e+00,"$100,000.00",+0.000%
77,NN; E=1.00e+08; K=6.00e+00,"$100,000.00",+0.000%
78,LRA; E=1.00e+08; K=6.00e-01,"$100,000.00",+0.000%
79,NN; E=1.00e+08; K=6.00e-01,"$100,000.00",+0.000%
80,LRA; E=1.00e+08; K=6.00e-02,"$100,000.00",+0.000%
81,NN; E=1.00e+08; K=6.00e-02,"$100,000.00",+0.000%
82,LRA; E=1.00e+08; K=6.00e-03,"$100,000.00",+0.000%
83,NN; E=1.00e+08; K=6.00e-03,"$100,000.00",+0.000%
84,LRA; E=1.00e+08; K=7.00e+03,"$100,000.00",+0.000%
85,NN; E=1.00e+08; K=7.00e+03,"$100,000.00",+0.000%
86,LRA; E=1.00e+08; K=7.00e+02,"$100,000.00",+0.000%
87,NN; E=1.00e+08; K=7.00e+02,"$100,000.00",+0.000%
88,LRA; E=1.00e+08; K=7.00e+01,"$100,000.00",+0.000%
89,NN; E=1.00e+08; K=7.00e+01,"$100,000.00",+0.000%
90,LRA; E=1.00e+08; K=7.00e+00,"$100,000.00",+0.000%
91,NN; E=1.00e+08; K=7.00e+00,"$100,000.00",+0.000%
92,LRA; E=1.00e+08; K=7.00e-01,"$100,000.00",+0.000%
93,NN; E=1.00e+08; K=7.00e-01,"$100,000.00",+0.000%
94,LRA; E=1.00e+08; K=7.00e-02,"$100,000.00",+0.000%
95,NN; E=1.00e+08; K=7.00e-02,"$100,000.00",+0.000%
96,LRA; E=1.00e+08; K=7.00e-03,"$100,000.00",+0.000%
97,NN; E=1.00e+08; K=7.00e-03,"$100,000.00",+0.000%
98,LRA; E=1.00e+08; K=8.00e+03,"$100,000.00",+0.000%
99,NN; E=1.00e+08; K=8.00e+03,"$100,000.00",+0.000%
100,LRA; E=1.00e+08; K=8.00e+02,"$100,000.00",+0.000%
101,NN; E=1.00e+08; K=8.00e+02,"$100,000.00",+0.000%
102,LRA; E=1.00e+08; K=8.00e+01,"$100,000.00",+0.000%
103,NN; E=1.00e+08; K=8.00e+01,"$100,000.00",+0.000%
104,LRA; E=1.00e+08; K=8.00e+00,"$100,000.00",+0.000%
105,NN; E=1.00e+08; K=8.00e+00,"$100,000.00",+0.000%
106,LRA; E=1.00e+08; K=8.00e-01,"$100,000.00",+0.000%
107,NN; E=1.00e+08; K=8.00e-01,"$100,000.00",+0.000%
108,LRA; E=1.00e+08; K=8.00e-02,"$100,000.00",+0.000%
109,NN; E=1.00e+08; K=8.00e-02,"$100,000.00",+0.000%
110,LRA; E=1.00e+08; K=8.00e-03,"$100,000.00",+0.000%
111,NN; E=1.00e+08; K=8.00e-03,"$100,000.00",+0.000%
112,LRA; E=1.00e+08; K=9.00e+03,"$100,000.00",+0.000%
113,NN; E=1.00e+08; K=9.00e+03,"$100,000.00",+0.000%
114,LRA; E=1.00e+08; K=9.00e+02,"$100,000.00",+0.000%
115,NN; E=1.00e+08; K=9.00e+02,"$100,000.00",+0.000%
116,LRA; E=1.00e+08; K=9.00e+01,"$100,000.00",+0.000%
117,NN; E=1.00e+08; K=9.00e+01,"$100,000.00",+0.000%
118,LRA; E=1.00e+08; K=9.00e+00,"$100,000.00",+0.000%
119,NN; E=1.00e+08; K=9.00e+00,"$100,000.00",+0.000%
120,LRA; E=1.00e+08; K=9.00e-01,"$100,000.00",+0.000%
121,NN; E=1.00e+08; K=9.00e-01,"$100,000.00",+0.000%
122,LRA; E=1.00e+08; K=9.00e-02,"$100,000.00",+0.000%
123,NN; E=1.00e+08; K=9.00e-02,"$100,000.00",+0.000%
124,LRA; E=1.00e+08; K=9.00e-03,"$100,000.00",+0.000%
125,NN; E=1.00e+08; K=9.00e-03,"$100,000.00",+0.000%
